State,State_Abbreviation,Crime_Rate,Healthcare,Opportunity,Fiscal_Stability ,Workforce,Economy,Quality_of_Life,Technology_and_Innovation,Education,Cost_of_Living,Estimated_Income,Margin_of_Error,Latitude,Longitude
Alabama,AL,2817.2,46,48,25,36,38,48,34,47,8,"49,861",783,32.318231,-86.902298
Alaska,AK,3300.5,28,5,47,33,50,25,45,40,46,"74,346","2,288",63.588753,-154.493062
Arizona,AZ,2676.8,24,45,34,8,16,36,23,43,20,"59,246",732,34.048928,-111.093731
Arkansas,AR,2913,49,41,20,43,40,50,47,42,2,"47,062",713,35.20105,-91.831833
California,CA,2380.4,11,46,43,12,4,21,1,26,49,"75,277",317,36.778261,-119.417932
Colorado,CO,2671.6,9,28,31,5,1,9,7,20,34,"71,953",655,39.550051,-105.782067
Connecticut,CT,1681,4,29,41,16,43,22,17,14,43,"76,348",921,41.603221,-73.087749
Delaware,DE,2324.4,25,7,15,14,10,39,24,32,35,"64,805","1,570",38.910832,-75.52767
Florida,FL,2281.8,34,36,3,27,5,23,7,7,26,"55,462",384,27.664827,-81.515754
Georgia,GA,2573.7,42,33,13,4,14,32,21,31,9,"58,756",711,32.157435,-82.907123
Hawaii,HI,2870.3,1,18,35,48,23,2,42,29,50,"80,212","2,020",19.898682,-155.665857
Idaho,ID,1461.4,18,42,7,29,7,13,35,30,13,"55,583",915,44.068202,-114.742041
Illinois,IL,1932.8,27,22,50,25,39,30,12,24,25,"65,030",500,40.633125,-89.398528
Indiana,IN,2179.3,40,11,8,40,25,46,28,35,10,"55,746",522,40.551217,-85.602364
Iowa,IA,1691.5,3,4,21,39,17,7,26,5,12,"59,955",877,41.878003,-93.097702
Kansas,KS,2633.9,30,12,39,38,42,28,29,21,7,"58,218",773,39.011902,-98.484246
Kentucky,KY,1962.6,45,30,46,49,45,37,36,34,16,"50,247",567,37.839333,-84.270018
Louisiana,LA,3276,47,50,48,35,44,49,44,49,17,"47,905",740,31.244823,-92.145024
Maine,ME,1357.8,22,26,29,50,37,15,38,19,38,"55,602","1,326",45.253783,-69.445469
Maryland,MD,2033.3,16,2,23,6,24,26,10,11,44,"83,242","1,022",39.045755,-76.641271
Massachusetts,MA,1263.3,5,14,40,1,9,10,2,1,48,"79,835",970,42.407211,-71.382437
Michigan,MI,1653.5,32,20,32,10,22,33,3,36,4,"56,697",406,44.314844,-85.602364
Minnesota,MN,1993.8,7,3,24,16,20,3,5,13,29,"70,315",539,46.729553,-94.6859
Mississippi,MS,2403,50,49,45,41,48,42,46,46,1,"44,717",793,32.354668,-89.398528
Missouri,MO,2647.1,39,21,10,41,33,45,22,25,6,"54,478",751,37.964253,-91.831833
Montana,MT,2496.3,26,37,12,45,26,7,39,22,31,"55,328","1,172",46.879682,-110.362566
Nebraska,NE,2079.9,19,13,11,22,21,11,31,9,15,"59,566","1,072",41.492537,-99.901813
Nevada,NV,2438.2,35,19,38,37,12,40,47,44,36,"58,646","1,133",38.80261,-116.419389
New Hampshire,NH,1248.5,13,1,26,19,11,5,26,4,39,"74,991","1,555",43.193852,-71.572395
New Jersey,NJ,1404.9,12,10,49,18,41,16,18,2,41,"81,740",687,40.058324,-74.405661
New Mexico,NM,3419.7,31,44,44,34,46,41,37,50,19,"47,169",900,34.97273,-105.032363
New York,NY,1440.5,15,43,28,32,35,14,4,23,47,"67,844",637,43.299428,-74.217933
North Carolina,NC,2494.1,37,40,6,9,18,28,11,16,18,"53,855",573,35.759573,-79.0193
North Dakota,ND,2040.2,14,17,2,30,19,4,42,10,29,"63,837","2,324",47.551493,-101.002012
Ohio,OH,2177.1,36,25,37,25,32,35,16,41,14,"56,111",425,40.417287,-82.907123
Oklahoma,OK,2875,48,38,22,43,36,44,40,39,3,"51,924",450,35.007752,-97.092877
Oregon,OR,2894,20,32,30,19,6,18,14,33,45,"63,426","1,056",43.804133,-120.554201
Pennsylvania,PA,1489.9,23,16,42,13,34,34,13,38,32,"60,905",315,41.203322,-77.194525
Rhode Island,RI,1660.9,8,34,33,15,29,27,33,27,42,"64,340","2,058",41.580095,-71.477429
South Carolina,SC,3017.6,41,39,18,21,15,42,31,48,27,"52,306",631,33.836081,-81.163725
South Dakota,SD,1728.7,21,24,4,30,28,16,41,17,27,"56,274","1,454",43.969515,-99.901813
Tennessee,TN,2825.4,43,31,5,27,13,47,30,28,5,"52,375",489,35.517491,-86.580447
Texas,TX,2367.2,38,47,17,7,8,31,9,37,11,"60,629",279,31.968599,-99.901813
Utah,UT,2377.5,10,35,1,11,2,12,19,3,22,"71,414",741,39.32098,-111.093731
Vermont,VT,1283.1,6,6,16,46,31,1,25,8,40,"60,782","1,551",44.558803,-72.577841
Virginia,VA,1665.8,29,9,14,3,30,19,15,12,33,"72,577",686,37.431573,-78.656894
Washington,WA,2946.2,2,27,27,2,3,5,6,6,37,"74,073",697,47.751074,-120.740139
West Virginia,WV,1485.6,44,23,36,47,49,37,50,45,23,"44,097","1,016",38.597626,-80.454903
Wisconsin,WI,1559.9,17,8,19,22,27,24,20,18,24,"60,773",391,43.78444,-88.787868
Wyoming,WY,1785.1,33,15,9,22,47,20,49,15,20,"61,584","1,401",43.075968,-107.290284
